Name,Group,Description,Power,Amount,Manufacturer,Buying Price,Selling Price,Stock quantity,Requires prescription,Active
Examination Gloves Nitrile,Medical Supplies,Powder-free latex allergy safe diagnostic blue gloves.,Medium,1 Box x 100 pcs,Hospital Supply Division,650,800,346, [], [✅]
Face Mask 3-Ply Loop,Medical Supplies,High melt-blown filtration index fluid resistant surgical mask.,Standard,1 Box x 50 pcs,Hospital Supply Division,100,150,130, [], [✅]
N95 Particulate Respirator,Medical Supplies,NIOSH certified high protection isolation ward respirators.,Standard,1 Pack x 10 pcs,Hospital Supply Division,650,800,185, [], [✅]
Foley Catheter 2-Way 16Fr,Medical Supplies,Sterile silicone coated latex retention urinary tracker lines.,16Fr,1 Box x 10 pcs,Hospital Supply Division,950,1200,441, [✅], [✅]
Foley Catheter 2-Way 14Fr,Medical Supplies,Narrow profile dynamic bladder access tracking channel.,14Fr,1 Box x 10 pcs,Hospital Supply Division,950,1200,325, [✅], [✅]
Urine Drainage Bag,Medical Supplies,2000ml medical fluid collector line with anti-reflux valve system.,2000ml,1 Box x 25 pcs,Hospital Supply Division,1100,1500,398, [], [✅]
Nasogastric Tube Fr16,Medical Supplies,Enteral nutritional feeding tube with radiopaque layout lines.,Fr16,1 Box x 20 pcs,Hospital Supply Division,1400,1800,178, [✅], [✅]
Oxygen Mask Adult,Medical Supplies,High flow clear vinyl mask tracking oxygen concentrations.,Adult,1 pc,Hospital Supply Division,85,120,348, [], [✅]
Nasal Oxygen Cannula,Medical Supplies,Twin prong comfortable long term oxygen delivery line.,Standard,1 pc,Hospital Supply Division,45,70,330, [], [✅]
Nebulizer Kit Complete,Medical Supplies,Medication cup aero-chamber tube lines with child/adult mask.,Universal,1 Set,Hospital Supply Division,160,220,298, [], [✅]
Surgical Blade No.11,Medical Supplies,High carbon steel sharp stabbing incision blade elements.,No.11,1 Box x 100 pcs,Hospital Supply Division,650,850,383, [✅], [✅]
Surgical Blade No.15,Medical Supplies,Small curved precision delicate tissue dissecting blades.,No.15,1 Box x 100 pcs,Hospital Supply Division,650,850,366, [✅], [✅]
Surgical Blade No.22,Medical Supplies,Large skin incision skin surgical layout knife blade.,No.22,1 Box x 100 pcs,Hospital Supply Division,650,850,386, [✅], [✅]
Silk Suture 2-0,Sutures,Non-absorbable braided black silk structural suture wires.,2-0,1 Box x 12 foils,Hospital Supply Division,1100,1400,166, [✅], [✅]
Vicryl Suture 1-0,Sutures,Absorbable synthetic braided polyglactin muscle closure line.,1-0,1 Box x 12 foils,Hospital Supply Division,3800,4400,115, [✅], [✅]
Prolene Suture 3-0,Sutures,Monofilament polypropylene smooth cardiovascular suture strand.,3-0,1 Box x 12 foils,Hospital Supply Division,3200,3800,207, [✅], [✅]
Blood Bag Single,Medical Supplies,CPDA-1 anticoagulant blood collection unit with needle.,450ml,1 Box x 10 pcs,Hospital Supply Division,1350,1700,116, [✅], [✅]
Moxaclav,Amoxicillin + Clavulanic Acid,Co-amoxiclav beta-lactamase inhibitor antibiotic mix.,625mg,1 strip x 6 tablets,Beximco Pharmaceuticals Ltd.,220,260,1041, [✅], [✅]
Flemoclav,Amoxicillin + Clavulanic Acid,Advanced dynamic antibiotic shield against resistant strains.,1g,1 strip x 4 tablets,Square Pharmaceuticals PLC,180,210,322, [✅], [✅]
Flugal,Fluconazole,Systemic antifungal treating candidiasis infections.,150mg,1 strip x 2 tablets,Incepta Pharmaceuticals Ltd.,25,30,1130, [], [✅]
Lucan,Fluconazole,Broad spectrum triazole antifungal treatment module.,50mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,85,100,843, [], [✅]
Dandsel,Ketoconazole,Anti-dandruff topical medicinal scalp therapy lotion.,2%,1 Bottle x 100ml,Renata Limited,190,220,1006, [], [✅]
Nystat,Nystatin,Oral antifungal suspension treating thrush conditions.,100000IU/ml,1 Bottle x 30ml,Aci Limited,42,50,446, [✅], [✅]
Amaryl M,Glimepiride + Metformin,Dual mechanism synergistic metabolic tracker.,2mg/500mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,110,130,868, [✅], [✅]
Aloglip,Sitagliptin,Selective DPP-4 control element managing postprandial sugars.,50mg,1 strip x 10 tablets,Aristopharma Ltd.,140,165,434, [✅], [✅]
Vildas,Vildagliptin,Incretin enhancer protecting baseline pancreatic cells.,50mg,1 strip x 10 tablets,Drug International Ltd.,135,160,445, [✅], [✅]
Megalyn,Pregabalin,Neuropathic pain modular blocker and structural stabilizer.,75mg,1 strip x 10 capsules,Radiant Pharmaceuticals Ltd.,155,180,343, [✅], [✅]
Preba,Pregabalin,GABAergic central neurotransmitter pathway dampener.,50mg,1 strip x 10 capsules,Popular Pharmaceuticals Ltd.,110,130,1176, [✅], [✅]
Gaba,Gabapentin,Post-herpetic neuralgia and neuropathic chronic pain manager.,300mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,190,220,923, [✅], [✅]
Anadol,Tramadol HCl,Centrally acting synthetic opioid analgesic element.,50mg,1 strip x 10 capsules,Healthcare Pharmaceuticals Ltd.,85,100,1006, [✅], [✅]
Apadol,Tramadol + Paracetamol,Synergistic opioid-antipyretic heavy pain compound.,37.5mg/325mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,130,150,1169, [✅], [✅]
Morphin,Morphine Sulfate,Surgical-tier intense terminal pain management narcotic.,15mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,260,310,913, [✅], [✅]
Disopan C,Clonazepam,Combination psychological tranquilizer tracking pathways.,0.5mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,55,65,560, [✅], [✅]
Olanza,Olanzapine,Atypical antipsychotic regulating dopamine-serotonin arrays.,5mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,65,75,950, [✅], [✅]
Risper,Risperidone,Antipsychotic targeting manic states and schizophrenia profiles.,2mg,1 strip x 10 tablets,Renata Limited,80,95,238, [✅], [✅]
Zosert,Sertraline,Major depressive disorder emotional tracking medicine.,100mg,1 strip x 10 tablets,Aci Limited,185,220,439, [✅], [✅]
Secentra,Escitalopram,Highly selective serotonin reuptake blocker.,10mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,102,120,472, [✅], [✅]
Loram,Escitalopram,Anxiety and depressive episode stabilization lines.,5mg,1 strip x 10 tablets,Aristopharma Ltd.,60,70,342, [✅], [✅]
Anfranil,Clomipramine HCl,Tricyclic drug targeting OCD obsessions explicitly.,25mg,1 strip x 10 tablets,Drug International Ltd.,75,90,202, [✅], [✅]
Atarax,Hydroxyzine HCl,Sedative antipruritic breaking itch-scratch cycle loops.,25mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,35,45,462, [], [✅]
Deflux,Domperidone,Gastroesophageal reflux motility acceleration fluid.,1mg/ml,1 Bottle x 60ml,Popular Pharmaceuticals Ltd.,45,55,390, [], [✅]
Butapan,Hyoscine Butylbromide,Smooth muscle antispasmodic resolving visceral cramping.,10mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,40,50,209, [], [✅]
Bevenal,Mebeverine HCl,Musculotropic antispasmodic targeting irritable bowel syndrome.,135mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,78,90,648, [], [✅]
Meva SR,Mebeverine,Sustained release smooth muscle GI track balancer.,200mg,1 strip x 10 capsules,Beximco Pharmaceuticals Ltd.,135,160,443, [], [✅]
Profasm,Alverine Citrate,Pelvic and abdominal visceral spasm relaxation agent.,60mg,1 strip x 10 capsules,Square Pharmaceuticals PLC,65,80,893, [], [✅]
Ulcaid,Sucralfate,Cytoprotective cross-linking gastric ulcer coating paste.,1g/5ml,1 Bottle x 200ml,Incepta Pharmaceuticals Ltd.,210,250,525, [✅], [✅]
Baby Zinc,Zinc Sulfate,Pediatric diarrheal duration shortening zinc therapy.,20mg/5ml,1 Bottle x 100ml,Opsonin Pharma Ltd.,42,50,1048, [], [✅]
Ferris,Iron Polymaltose,Non-constipating macromolecular iron delivery syrup.,50mg/5ml,1 Bottle x 100ml,Renata Limited,95,115,420, [], [✅]
Folison,Folic Acid,DNA synthesis tracking periconceptional neural tube protector.,5mg,1 strip x 15 tablets,Aci Limited,12,18,277, [], [✅]
Feoplus,Carbonyl Iron,High bioavailability elemental iron compound tracking cells.,100mg,1 strip x 10 capsules,Eskayef Pharmaceuticals Ltd.,65,80,819, [], [✅]
E-Gel,Vitamin E,Antioxidant capturing free radical structural stress arrays.,400IU,1 strip x 10 softgels,Aristopharma Ltd.,68,80,229, [], [✅]
Ceevit,Vitamin C,Ascorbic acid chewable scurvy prevention element.,250mg,1 strip x 10 tablets,Drug International Ltd.,22,28,1011, [], [✅]
Hairvit,Biotin,Coenzyme supplement optimizing keratin structure lines.,5mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,110,140,817, [], [✅]
D3-Caps,Cholecalciferol,Baseline calcium absorption optimization module.,20000IU,1 strip x 4 capsules,Popular Pharmaceuticals Ltd.,85,100,765, [✅], [✅]
Camlodin-AT,Amlodipine + Atenolol,Dual action calcium blocker + beta blocker synergy layout.,5mg/50mg,1 strip x 10 tablets,Beacon Pharmaceuticals PLC,85,100,463, [✅], [✅]
Telmi,Telmisartan,Angiotensin II receptor antagonist with prolonged half-life.,40mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,70,82,580, [✅], [✅]
Angitel,Telmisartan,Cardiovascular endpoint tracking high performance antihypertensive.,80mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,120,140,653, [✅], [✅]
Olmetec,Olmesartan Medoxomil,Potent vascular smooth muscle relaxation regulator.,20mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,75,90,708, [✅], [✅]
Ramace,Ramipril,ACE inhibitor reducing cardiac remodeling pathologies.,5mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,68,80,1042, [✅], [✅]
Carva,Carvedilol,Alpha-beta blocker stabilizing failing myocardial architecture.,6.25mg,1 strip x 10 tablets,Opsonin Pharma Ltd.,48,55,249, [✅], [✅]
Nitrin SR,Glyceryl Trinitrate,Sustained systemic venous dilator preventing angina episodes.,2.6mg,1 strip x 10 tablets,Renata Limited,102,120,780, [✅], [✅]
Nitromint,Glyceryl Trinitrate Spray,Sublingual emergency ischemic rescue spray system.,0.4mg/dose,1 Canister,Aci Limited,580,650,572, [✅], [✅]
Ivanor,Ivabradine,Hyperpolarization-activated cyclic nucleotide-gated channel blocker.,5mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,160,190,261, [✅], [✅]
Warf,Warfarin Sodium,Vitamin K antagonist monitoring critical prothrombin lines.,5mg,1 strip x 10 tablets,Aristopharma Ltd.,70,85,1145, [✅], [✅]
Roxaban,Rivaroxaban,Direct factor Xa inhibitor anticoagulant processing safely.,10mg,1 strip x 10 tablets,Drug International Ltd.,320,380,975, [✅], [✅]
Geprin-A,Clopidogrel + Aspirin,Dual antiplatelet dynamic tracking post-stent therapy.,75mg/75mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,135,160,1193, [✅], [✅]
Ventolin Sol.,Salbutamol Respiratory Sol.,Inhalation nebulization liquid tracking critical spasms.,5mg/ml,1 Bottle x 20ml,Popular Pharmaceuticals Ltd.,145,175,817, [✅], [✅]
Iprasmol,Ipratropium + Salbutamol,Anticholinergic-bronchodilator synergy tracking loop.,0.5mg/2.5mg,1 Nebule x 2.5ml,Beacon Pharmaceuticals PLC,35,42,637, [✅], [✅]
Symbicort,Budesonide + Formoterol,Inhaled corticosteroid + LABA asthma management controller.,160mcg/4.5mcg,1 Turbohaler,Healthcare Pharmaceuticals Ltd.,880,1050,236, [✅], [✅]
Ticamet,Fluticasone + Salmeterol,Maintenance therapy tracking chronic obstructive pulmonary profiles.,250mcg/50mcg,1 Inhaler x 60 puffs,Beximco Pharmaceuticals Ltd.,460,530,1056, [✅], [✅]
Tiomax,Tiotropium,Long-acting muscarinic antagonist parsing lung capacity tracking.,18mcg,1 strip x 10 capsules,Square Pharmaceuticals PLC,190,230,735, [✅], [✅]
Doxorex,Doxofylline Syrup,Pediatric xanthine bronchodilator respiratory line.,100mg/5ml,1 Bottle x 100ml,Incepta Pharmaceuticals Ltd.,55,65,921, [✅], [✅]
Cortisolf,Hydrocortisone Sodium Succinate,Emergency systemic glucocorticoid injection tracker.,100mg,1 Vial,Opsonin Pharma Ltd.,320,380,1027, [✅], [✅]
Medrol,Methylprednisolone,Intense immune pulse therapy glucocorticoid structural line.,4mg,1 strip x 10 tablets,Renata Limited,110,130,559, [✅], [✅]
Burnsil,Silver Sulfadiazine,Topical antibacterial protective barrier for severe burn paths.,1%,1 Jar x 250g,Aci Limited,240,290,732, [], [✅]
Bactoderm,Mupirocin,Topical protein synthesis blocker resolving impetigo lines.,2%,1 Tube x 15g,Eskayef Pharmaceuticals Ltd.,115,140,1105, [], [✅]
Fusi,Fusidic Acid,Steroidal topical antibiotic clearing deep staph cells.,2%,1 Tube x 10g,Aristopharma Ltd.,85,105,993, [], [✅]
Cortoid,Hydrocortisone Acetate,Mild topical anti-inflammatory skin scaling tracker.,1%,1 Tube x 15g,Drug International Ltd.,42,55,735, [], [✅]
Dermovate,Clobetasol Propionate,Ultra-high potency topical corticosteroid skin element.,0.05%,1 Tube x 15g,Radiant Pharmaceuticals Ltd.,95,115,221, [✅], [✅]
Scabex,Permethrin,Neurotoxic scabicidal topical whole body lotion profile.,5%,1 Bottle x 60ml,Popular Pharmaceuticals Ltd.,75,95,376, [], [✅]
Xonotar,Salicylic Acid + Coal Tar,Keratolytic shampoo breaking stubborn plaque psoriasis.,3%/1%,1 Bottle x 100ml,Beacon Pharmaceuticals PLC,210,250,355, [], [✅]
Timoptol,Timolol Maleate,Beta blocker eye drops reducing intraocular glaucoma strain.,0.5%,1 Dropper x 5ml,Healthcare Pharmaceuticals Ltd.,110,135,350, [✅], [✅]
Latacom,Latanoprost,Prostaglandin analogue maximizing uveoscleral outflow tracks.,0.005%,1 Dropper x 2.5ml,Beximco Pharmaceuticals Ltd.,480,560,1159, [✅], [✅]
Moxisight,Moxifloxacin Eye Drops,Fourth-generation fluoroquinolone clearing ocular bacteria safely.,0.5%,1 Dropper x 5ml,Square Pharmaceuticals PLC,140,165,914, [✅], [✅]
Tears-P,Sodium Carboxymethylcellulose,Lubricating artificial tears protecting dry cornea layers.,0.5%,1 Dropper x 10ml,Incepta Pharmaceuticals Ltd.,135,160,893, [], [✅]
Cipro-Ear,Ciprofloxacin Otic Drops,Targeted anti-infective treating painful otitis externa.,0.3%,1 Dropper x 5ml,Opsonin Pharma Ltd.,68,80,269, [✅], [✅]
Waxolve,Sodium Bicarbonate Ear Drops,Alkaline solution loosening impacted cerumen blocks.,5%,1 Dropper x 10ml,Renata Limited,35,45,293, [], [✅]
Afrin Nasal,Oxymetazoline HCl,Alpha-adrenergic vasoconstrictor resolving nasal congestion.,0.05%,1 Spray x 10ml,Aci Limited,75,90,380, [], [✅]
Fluticone,Fluticasone Furoate,Intranasal corticosteroid managing chronic hay fever.,27.5mcg/spray,1 Spray x 120 doses,Eskayef Pharmaceuticals Ltd.,280,330,261, [✅], [✅]
Azelast,Azelastine + Fluticasone,Dual action antihistamine-steroid advanced nasal spray.,137mcg/50mcg,1 Spray x 150 doses,Aristopharma Ltd.,390,460,957, [✅], [✅]
Gynocane,Clotrimazole Vaginal Cream,Intra-vaginal antifungal treating candidal vulvovaginitis.,2%,1 Tube x 20g,Drug International Ltd.,95,120,381, [], [✅]
Primolut-N,Norethisterone,Synthetic progestogen delaying menstruation tracking.,5mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,92,110,517, [✅], [✅]
Mifemax,Mifepristone,Progesterone receptor antagonist tracking medical termination.,200mg,1 strip x 1 tablet,Popular Pharmaceuticals Ltd.,320,380,886, [✅], [✅]
Isovent,Misoprostol,PGE1 analogue inducing uterine contraction structural lines.,200mcg,1 strip x 4 tablets,Beacon Pharmaceuticals PLC,120,150,865, [✅], [✅]
Librax,Chlordiazepoxide + Clidinium,Antianxiety anticholinergic tracking irritable stomach states.,5mg/2.5mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,48,60,672, [✅], [✅]
Enzyme-D,Pancreatin,Digestive enzyme replacement tracking pancreatic insufficiency.,Standard,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,135,160,397, [], [✅]
Urso,Ursodeoxycholic Acid,Hydrophilic bile acid dissolving cholesterol gallstones.,300mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,260,310,446, [✅], [✅]
Hepaclear,L-Ornithine L-Aspartate,Amino acid layout removing ammonia in hepatic dysfunction.,150mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,185,220,934, [✅], [✅]
Probio,Lactobacillus acidophilus mix,Multi-strain therapeutic grade protective microflora tracking capsule.,Standard,1 strip x 10 capsules,Opsonin Pharma Ltd.,150,180,503, [], [✅]
Zyloric,Allopurinol,Xanthine oxidase inhibitor reducing uric acid concentrations.,100mg,1 strip x 10 tablets,Renata Limited,42,50,691, [✅], [✅]
Febu,Febuxostat,Selective xanthine oxidase blocker treating chronic gout matrix.,40mg,1 strip x 10 tablets,Aci Limited,95,115,1164, [✅], [✅]
Goutnil,Colchicine,Mitotic poison terminating acute gout inflammatory attacks.,0.5mg,1 strip x 10 tablets,Eskayef Pharmaceuticals Ltd.,80,100,738, [✅], [✅]
Trex,Methotrexate,Antimetabolite managing severe rheumatoid arthritis pathways.,2.5mg,1 strip x 10 tablets,Aristopharma Ltd.,90,110,470, [✅], [✅]
Salazine,Sulfasalazine,Disease-modifying antirheumatic drug tracking bowel-joint tracks.,500mg,1 strip x 10 tablets,Drug International Ltd.,140,170,463, [✅], [✅]
Reconil,Hydroxychloroquine,Immunomodulator tracking systemic lupus erythematosus pipelines.,200mg,1 strip x 10 tablets,Radiant Pharmaceuticals Ltd.,160,190,376, [✅], [✅]
Azoran,Azathioprine,Purine synthesis blocker suppressing organ rejection layers.,50mg,1 strip x 10 tablets,Popular Pharmaceuticals Ltd.,280,330,426, [✅], [✅]
Cyclosporin,Cycloset Eye Drops,Immunosuppressant treating severe dry eye keratitis tracks.,0.05%,1 Dropper x 3ml,Beacon Pharmaceuticals PLC,420,500,444, [✅], [✅]
Sinemet,Levodopa + Carbidopa,Dopamine replenishment layout tracking Parkinson's systems.,100mg/25mg,1 strip x 10 tablets,Healthcare Pharmaceuticals Ltd.,190,230,1011, [✅], [✅]
Pramitrex,Pramipexole,Non-ergoline dopamine agonist processing restless legs syndrome.,0.25mg,1 strip x 10 tablets,Beximco Pharmaceuticals Ltd.,110,135,1188, [✅], [✅]
Memoprev,Donepezil HCl,Acetylcholinesterase inhibitor tracking Alzheimer's disease memory.,5mg,1 strip x 10 tablets,Square Pharmaceuticals PLC,130,155,479, [✅], [✅]
Mentix,Memantine HCl,NMDA receptor antagonist mitigating cortical excitotoxicity.,10mg,1 strip x 10 tablets,Incepta Pharmaceuticals Ltd.,180,215,217, [✅], [✅]
Betnovate,Betamethasone Valerate,Classic structural steroid treating eczematous flare lines.,0.1%,1 Tube x 20g,Opsonin Pharma Ltd.,48,60,933, [✅], [✅]
